zinc_id,smiles,mwt,logp,heavy_atoms,n_rings,heteroatoms,tpsa,hacceptors,hdonors,rotatable_bonds
ZINC000000000007,C=CCc1ccc(OCC(=O)N(CC)CC)c(OC)c1,277.3639999999999,2.6709000000000005,20,1,4,38.77,3,0,8
ZINC000000000010,C[C@@]1(c2ccccc2)OC(C(=O)O)=CC1=O,218.208,1.4696,16,2,4,63.6,3,1,2
ZINC000000000011,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N(C)C,303.36600000000004,1.3149999999999995,22,2,7,99.52,7,2,5
ZINC000000000012,O=C(C[S@@](=O)C(c1ccccc1)c1ccccc1)NO,289.356,2.0301,20,2,5,66.4,3,2,5
ZINC000000000014,CC[C@H]1[C@H](O)N2[C@H]3C[C@@]45c6ccccc6N(C)[C@H]4[C@@H]2C[C@@H]1[C@@H]3[C@H]5O,326.44000000000005,1.5545,24,12,4,46.94,4,2,1
ZINC000000000015,C[C@@H](C(=O)O)N(CCCl)CCCl,214.092,1.2391,12,0,5,40.54,2,1,6
ZINC000000000016,CC1(C)O[C@H]2C[C@@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@]3(C)[C@@]2(C(=O)CO)O1,452.49400000000026,2.366800000000001,32,9,8,93.06,6,2,2
ZINC000000000017,CCC[S@](=O)c1ccc2[nH]/c(=N\C(=O)OC)[nH]c2c1,281.337,1.6807,19,2,7,87.31,3,2,3
ZINC000000000018,C=CCN1C(=O)[C@@H](CC(C)C)NC1=S,212.318,1.3037999999999998,14,2,4,32.34,2,1,4
ZINC000000000021,C=CC[C@H]1CN(C)CC[C@@]1(OC(=O)CC)c1ccccc1,287.403,3.3629000000000024,21,3,3,29.54,3,0,5
ZINC000000000022,C=C(C)CNc1ccc([C@H](C)C(=O)O)cc1,219.284,2.8627,16,1,3,49.33,2,2,5
ZINC000000000023,C=CCc1ccccc1OC[C@H](O)CNC(C)C,249.354,2.1528,18,1,3,41.49,3,2,8
